编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,一级评论,up主,up主,-若曦若惜-,505675593,现在自己试用了很多模型，觉得newbing跟其他的不在一个级别，强非常多，缺点是速度慢，限制较多，而且特别喜欢联网查资料；讯飞星火速度最快，但是效果是真的差，稍微带一点逻辑就错，把他当搜索引擎都不好用，给的网址没一个能打开的。最想用gpt4，可惜国内没办法付款买，得等8月出国留学才能订阅,2023-05-15 14:13,212
0,二级评论,-若曦若惜-,505675593,qasxcvfg,475850995,newbing上周还挺快的，前几天开放所有人使用速度慢下来了。chatgpt也是，卡成🐶,2023-05-15 18:04,22
0,二级评论,-若曦若惜-,505675593,尚笑肌块,90936566,palm2 据说比gpt4.0还强。,2023-05-15 20:28,3
0,二级评论,-若曦若惜-,505675593,KodachiJK,14155451,回复 @尚笑肌块 :别据说了，实测感觉不如GPT3.5,2023-05-16 00:12,6
0,二级评论,-若曦若惜-,505675593,猫和老鼠---ratkiller,1295335399,nb慢点一言难尽……但是好用也是真好用,2023-05-16 01:10,2
0,二级评论,-若曦若惜-,505675593,尚笑肌块,90936566,回复 @KodachiJK :已经上线了？,2023-05-16 01:10,0
0,二级评论,-若曦若惜-,505675593,尚笑肌块,90936566,palm2哪里能用？其实使用感觉来说和GPT4和bing是独一档。3.5和claude是第二档。后面的交流起来都有点似懂非懂的感觉。3.0和文言一心差不多是第三档。,2023-05-16 01:15,7
0,二级评论,-若曦若惜-,505675593,老奶奶上高楼,86038668,已经用了4，它确实是最强的，bing可以上网，效果总体还行，也是最接近4的,2023-05-16 08:38,4
0,二级评论,-若曦若惜-,505675593,刁民爱上C佳佳,242256093,回复 @KodachiJK :你的实测是假实测吧，palm2比gpt4.0无论从metrics还是实测都要强,2023-05-16 09:16,5
0,二级评论,-若曦若惜-,505675593,了555了,236703355,newbing你用中文问答许多回答就直接从中文网站弄下来的,2023-05-16 16:24,0
0,二级评论,-若曦若惜-,505675593,fffxj123,476533904,newbing也不好用，联系上下文的能力甚至不如gpt,2023-05-16 17:13,0
0,二级评论,-若曦若惜-,505675593,波波咚咚,378029791,gpt4找人买，也有直接提供服务的，贵点,2023-05-17 07:58,0
0,二级评论,-若曦若惜-,505675593,开心圣尊,12811057,回复 @开心圣尊 :全在蹭热点，没有意义,2023-05-17 17:19,1
0,二级评论,-若曦若惜-,505675593,leolrg,157309468,gpt4>newbing=claude+>chatgpt3.5>claude-instant>bard=讯飞星火,2023-05-17 18:50,3
0,二级评论,-若曦若惜-,505675593,回老家结婚的狂三,181120,newbing就是基于gpt4,2023-05-17 19:40,0
0,二级评论,-若曦若惜-,505675593,nobody1987,8747653,newbing输出内容太少了,2023-05-18 15:53,0
0,二级评论,-若曦若惜-,505675593,FreeDims,359298173,星火真的是一言难尽,2023-05-19 08:46,0
0,二级评论,-若曦若惜-,505675593,grubs,215148789,回复 @尚笑肌块 : bard自己回答说已经用的是palm2了，但是是最小规模的palm2,2023-05-23 13:33,0
0,二级评论,-若曦若惜-,505675593,鸥_想整点薯条吗,1109669104,回复 @leolrg :要是Bing没被削弱....,2023-05-23 23:43,0
0,二级评论,-若曦若惜-,505675593,鸥_想整点薯条吗,1109669104,回复 @nobody1987 :要用创造力模式,2023-05-23 23:43,0
0,二级评论,-若曦若惜-,505675593,nobody1987,8747653,回复 @bSuSna胩芣茢 :创造力模式也没见过它输出几百字的长文，我让gpt能写稿子，bing不行,2023-05-24 11:59,0
